Designator,Footprint,Quantity,Value,LCSC Part #
D1,D_DO-34_SOD68_P7.62mm_Horizontal,1,1N4007,
"H1, H2",MountingHole_4mm,2,MountingHole,
"J1, J2",SHDR2W110P0X500_1X2_1000X1120X,2,Screw_Terminal_01x02,
J5,PinSocket_2x11_P2.54mm_Vertical,1,Conn_02x11_Odd_Even,
"J7, J8",Korean Hroparts Elec PJ-227-5A,2,AudioJack4_SwitchR1,
LS1,Mallory_Sonalert_Products_Inc-AST7525MATRQ-0-0-MFG,1,AST7525MATRQ,
PS1,Converter_ACDC_HiLink_HLK-PMxx,1,HLK-PM01,
Q1,SOT-23,1,Q_NPN_EBC,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,1k,
"R2, R3, R4, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,4,10k,
